Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
039130	KR7039130000	하나투어	KOSPI		50300	2	-400	-0.79	50800	50800	50200	4507	226879200	806771005500	16039185	STK
248070	KR7248070005	솔루엠	KOSPI		16260	2	-530	-3.16	16800	16800	16180	61577	1005460275	796830259260	49005551	STK
003240	KR7003240009	태광산업	KOSPI		712000	1	28000	4.09	695000	726000	695000	1057	753381000	792740800000	1113400	STK
298050	KR7298050006	HS효성첨단소재	KOSPI		175800	2	-900	-0.51	175300	177800	174000	1787	315170150	787574858400	4479948	STK
053800	KR7053800009	안랩	KOSDAQ	우량기업부	70200	2	-1400	-1.96	70500	72300	69300	98838	6981811550	781080721200	11126506	KSQ
100840	KR7100840008	SNT에너지	KOSPI		37100	1	2800	8.16	33550	37150	33550	118116	4234685350	767257049300	20680783	STK
101490	KR7101490001	에스앤에스텍	KOSDAQ	우량기업부	35600	1	450	1.28	34500	36100	34500	110739	3923752125	763671513200	21451447	KSQ
033500	KR7033500000	동성화인텍	KOSDAQ	우량기업부	25300	1	750	3.05	24100	25550	24100	279920	7034115750	758734198200	29989494	KSQ
014620	KR7014620009	성광벤드	KOSDAQ	우량기업부	27050	1	750	2.85	25950	27050	25950	111321	2978047525	755467196350	27928547	KSQ
084370	KR7084370006	유진테크	KOSDAQ	우량기업부	32950	2	-500	-1.49	32950	33200	32700	25961	855498700	755083583900	22916042	KSQ
268280	KR7268280005	미원에스씨	KOSPI		150600	1	1800	1.21	149100	150600	148900	863	128945000	753000000000	5000000	STK
030190	KR7030190003	NICE평가정보	KOSPI		12630	1	530	4.38	12180	12710	11930	96021	1197750110	751568269590	59506593	STK
114090	KR7114090004	GKL	KOSPI		12070	2	-30	-0.25	12000	12120	11940	39111	471844630	746597936900	61855670	STK
067630	KR7067630004	HLB생명과학	KOSDAQ	투자주의환기종목(소속부없음)	6120	1	50	0.82	6020	6180	6020	128465	783488730	746001610560	121895688	KSQ
006120	KR7006120000	SK디스커버리	KOSPI		40500	3	0	0.0	40450	40550	40250	1887	76299550	743088127500	18347855	STK
003850	KR7003850005	보령	KOSPI		8540	2	-80	-0.93	8610	8670	8530	18453	157861360	741162747780	86787207	STK
064960	KR7064960008	SNT모티브	KOSPI		27900	1	1000	3.72	26800	27900	26700	19020	519820300	740473588800	26540272	STK
031980	KR7031980006	피에스케이홀딩스	KOSDAQ	우량기업부	34250	2	-450	-1.3	34050	34550	34000	58971	2019379025	738512028750	21562395	KSQ
336570	KR7336570007	원텍	KOSDAQ	기술성장기업부	8260	2	-100	-1.2	8360	8450	8200	308460	2558988800	737953512940	89340619	KSQ
032350	KR7032350001	롯데관광개발	KOSPI		9680	2	-100	-1.02	9760	9930	9640	197143	1931384030	737579051440	76196183	STK
181710	KR7181710005	NHN	KOSPI		21800	1	450	2.11	21350	21800	21350	13466	291586350	736101481400	33766123	STK
067310	KR7067310003	하나마이크론	KOSDAQ	우량기업부	11080	2	-140	-1.25	11030	11250	10990	151029	1669854715	734293194920	66271949	KSQ
079160	KR7079160008	CJ CGV	KOSPI		4430	2	-60	-1.34	4405	4475	4405	68209	302209833	733520591670	165580269	STK
049770	KR7049770001	동원F&B	KOSPI		37850	1	150	0.4	37300	38600	37300	23788	905967000	730339217000	19295620	STK
161580	KR7161580006	필옵틱스	KOSDAQ	중견기업부	31850	2	-400	-1.24	31600	32300	31500	93823	2984737650	728910564200	22885732	KSQ
030610	KR7030610000	교보증권	KOSPI		6340	1	200	3.26	6120	6340	6120	131445	822150155	722525172740	113962961	STK
009410	KR7009410002	태영건설	KOSPI		2430	2	-60	-2.41	2490	2525	2430	54136	132335435	714598745940	294073558	STK
