Unnamed: 0	Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
832	305090	KR7305090003	마이크로디지탈	KOSDAQ	기술성장기업부	-	3									18595055	KSQ
834	098120	KR7098120009	마이크로컨텍솔	KOSDAQ	중견기업부	-	3									8312766	KSQ
835	424980	KR7424980001	마이크로투나노	KOSDAQ	기술성장기업부	-	3									5918890	KSQ
836	038290	KR7038290003	마크로젠	KOSDAQ	중견기업부	-	3									10841400	KSQ
837	001080	KR7001080001	만호제강	KOSPI		-	3									41500000	STK
838	267980	KR7267980001	매일유업	KOSDAQ	우량기업부	-	3									7663638	KSQ
839	005990	KR7005990007	매일홀딩스	KOSDAQ	우량기업부	-	3									13298304	KSQ
840	093520	KR7093520005	매커스	KOSDAQ	우량기업부	-	3									14163092	KSQ
841	088980	KR7088980008	맥쿼리인프라	KOSPI		-	3									478921993	STK
842	094800	KR7094800000	맵스리얼티	KOSPI		-	3									92834331	STK
844	100590	KR7100590009	머큐리	KOSDAQ	중견기업부	-	3									15830023	KSQ
845	067280	KR7067280008	멀티캠퍼스	KOSDAQ	우량기업부	-	3									5926779	KSQ
846	072870	KR7072870009	메가스터디	KOSDAQ	우량기업부	-	3									11920959	KSQ
848	133750	KR7133750000	메가엠디	KOSDAQ	중견기업부	-	3									23407077	KSQ
849	446540	KR7446540007	메가터치	KOSDAQ	중견기업부	-	3									25963749	KSQ
850	235980	KR7235980000	메드팩토	KOSDAQ	기술성장기업부	-	3									34275121	KSQ
852	041920	KR7041920000	메디아나	KOSDAQ	우량기업부	-	3									18598223	KSQ
854	014100	KR7014100002	메디앙스	KOSDAQ	중견기업부	-	3									11800000	KSQ
856	054180	KR7054180005	메디콕스	KOSDAQ	관리종목(소속부없음)	-	3									5527981	KSQ
857	086900	KR7086900008	메디톡스	KOSDAQ	우량기업부	-	3									7298497	KSQ
858	078160	KR7078160009	메디포스트	KOSDAQ	벤처기업부	-	3									39204603	KSQ
859	138040	KR7138040001	메리츠금융지주	KOSPI		-	3									169001273	STK
860	0088D0	KR70088D0004	메리츠제1호스팩	KOSDAQ	SPAC(소속부없음)	-	3									5795000	KSQ
861	408920	KR7408920007	메쎄이상	KOSDAQ	벤처기업부	-	3									43232455	KSQ
862	021880	KR7021880000	메이슨캐피탈	KOSDAQ	중견기업부	-	3									212184408	KSQ
863	0088M0	KR70088M0003	메쥬	KOSDAQ	기술성장기업부	-	3									9717750	KSQ
864	140410	KR7140410002	메지온	KOSDAQ	투자주의환기종목(소속부없음)	-	3									30392167	KSQ
865	241770	KR7241770007	메카로	KOSDAQ	우량기업부	-	3									10192640	KSQ
866	090370	KR7090370008	메타랩스	KOSPI		-	3									24904689	STK
867	059210	KR7059210005	메타바이오메드	KOSDAQ	우량기업부	-	3									27171445	KSQ
868	118000	KR7118000009	메타케어	KOSPI		-	3									171777364	STK
869	058110	KR7058110008	멕아이씨에스	KOSDAQ	기술성장기업부	-	3									16050530	KSQ
870	072770	KR7072770001	멤레이비티	KOSDAQ	중견기업부	-	3									83024196	KSQ
871	017180	KR7017180001	명문제약	KOSPI		-	3									33953454	STK
872	009900	KR7009900002	명신산업	KOSPI		-	3									52470133	STK
873	317450	KR7317450005	명인제약	KOSPI		-	3									14600000	STK
874	012690	KR7012690004	모나리자	KOSPI		-	3									36571255	STK
875	005360	KR7005360003	모나미	KOSPI		-	3									18897307	STK
876	070960	KR7070960000	모나용평	KOSPI		-	3									48133333	STK
877	434480	KR7434480000	모니터랩	KOSDAQ	기술성장기업부	-	3									12310300	KSQ
878	080420	KR7080420003	모다이노칩	KOSDAQ	중견기업부	-	3									79721622	KSQ
