Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
003090	KR7003090008	대웅	KOSPI		19920	2	-40	-0.2	20650	20650	19850	8264	165458730	1158188241600	58141980	STK
103590	KR7103590006	일진전기	KOSPI		24150	1	900	3.87	23700	24400	23700	254464	6118246075	1151602168500	47685390	STK
039200	KR7039200001	오스코텍	KOSDAQ	벤처기업부	30050	2	-150	-0.5	30350	30350	29700	53148	1588995925	1149357688800	38248176	KSQ
137310	KR7137310009	에스디바이오센서	KOSPI		9390	1	80	0.86	9320	9490	9320	34681	326288680	1143224067780	121749102	STK
280360	KR7280360009	롯데웰푸드	KOSPI		119000	2	-200	-0.17	119100	120400	118700	1806	215146600	1122714306000	9434574	STK
095340	KR7095340006	ISC	KOSDAQ	우량기업부	52900	1	1500	2.92	52800	53700	52400	58142	3085794950	1121324368200	21197058	KSQ
003570	KR7003570009	SNT다이내믹스	KOSPI		33350	2	-550	-1.62	33550	34000	33100	31737	1057893025	1108977444950	33252697	STK
034230	KR7034230003	파라다이스	KOSPI		11940	2	-70	-0.58	11960	12030	11720	128406	1523663425	1095753178620	91771623	STK
185750	KR7185750007	종근당	KOSPI		78800	1	200	0.25	79200	79300	78500	3663	288713650	1087659064000	13802780	STK
012630	KR7012630000	HDC	KOSPI		17970	2	-150	-0.83	18070	18180	17670	29663	534895325	1073558726370	59741721	STK
001800	KR7001800002	오리온홀딩스	KOSPI		17060	2	-140	-0.81	17120	17280	16900	31475	538543080	1068730899320	62645422	STK
376300	KR7376300000	디어유	KOSDAQ	기술성장기업부	44450	1	2900	6.98	41650	44750	41450	209730	9141154425	1055172146700	23738406	KSQ
089860	KR7089860001	롯데렌탈	KOSPI		29000	2	-50	-0.17	29150	29150	28750	7437	215269250	1052972252000	36309388	STK
017960	KR7017960006	한국카본	KOSPI		20150	1	50	0.25	20150	20350	19900	216957	4361205235	1045955307800	51908452	STK
